Tiempo,Q_DEEN,Caudal BPIL
87600,40.5415,52.0213
87700,40.4127,51.8771
87800,40.284,51.733
87900,40.1553,51.589
88000,40.0267,51.4451
88100,39.8981,51.3012
88200,39.7696,51.1574
88300,39.6412,51.0137
88400,39.5128,50.8701
88500,39.3845,50.7265
88600,39.2562,50.583
88700,39.1279,50.4395
88800,38.9998,50.2962
88900,38.8716,50.1529
89000,38.7436,50.0096
89100,38.6155,49.8664
89200,38.4875,49.7233
89300,38.3596,49.5803
89400,38.2317,49.4373
89500,38.1039,49.2944
89600,37.9761,49.1516
89700,37.8484,49.0088
89800,37.7207,48.866
89900,37.593,48.7234
90000,37.4654,48.5808
90100,37.3379,48.4382
90200,37.2104,48.2957
90300,37.0829,48.1533
90400,36.9555,48.0109
90500,36.8281,47.8686
90600,36.7007,47.7263
90700,36.5734,47.5841
90800,36.4462,47.442
90900,36.3189,47.2999
91000,36.1918,47.1578
91100,36.0646,47.0158
91200,35.9375,46.8739
91300,35.8104,46.732
91400,35.6834,46.5902
91500,35.5564,46.4484
91600,35.4294,46.3066
91700,35.3025,46.1649
91800,35.1756,46.0233
91900,35.0487,45.8817
92000,34.9218,45.7401
92100,34.795,45.5986
92200,34.6683,45.4572
92300,34.5415,45.3157
92400,34.4148,45.1744
92500,34.2881,45.033
92600,34.1614,44.8917
92700,34.0348,44.7505
92800,33.9082,44.6093
92900,33.7816,44.4681
93000,33.6551,44.327
93100,33.5285,44.1859
93200,33.402,44.0448
93300,33.2755,43.9038
93400,33.1491,43.7628
93500,33.0226,43.6218
93600,32.8962,43.4809
93700,32.7698,43.34
93800,32.6434,43.1991
93900,32.517,43.0583
94000,32.3907,42.9175
94100,32.2644,42.7767
94200,32.1381,42.636
94300,32.0117,42.4953
94400,31.8855,42.3546
94500,31.7592,42.2139
94600,31.6329,42.0733
94700,31.5067,41.9327
94800,31.3805,41.7921
94900,31.2542,41.6515
95000,31.128,41.511
95100,31.0018,41.3705
95200,30.8756,41.23
95300,30.7494,41.0895
95400,30.6233,40.949
95500,30.4971,40.8086
95600,30.3709,40.6681
95700,30.2448,40.5277
95800,30.1186,40.3873
95900,29.9924,40.2469
96000,29.8663,40.1065
96100,29.7401,39.9662
96200,29.614,39.8258
96300,29.4878,39.6855
96400,29.3617,39.5452
96500,29.2355,39.4048
96600,29.1093,39.2645
96700,28.9832,39.1242
96800,28.857,38.9839
96900,28.7308,38.8436
97000,28.6047,38.7033
97100,28.4785,38.563
97200,28.3523,38.4227
97300,28.2261,38.2824
97400,28.0998,38.1421
97500,27.9736,38.0018
97600,27.8474,37.8615
97700,27.7211,37.7212
97800,27.5949,37.5809
97900,27.4686,37.4406
